epoch,accuracy,learning_rate,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.9207589030265808,9.999999747378752e-05,0.23671647906303406,0.9435294270515442,0.8950892686843872,1.0,0.057881128042936325,1.0,1.0
1,0.9955357313156128,9.999999747378752e-05,0.05204752832651138,0.9933333396911621,0.9977678656578064,1.0,0.021890873089432716,1.0,1.0
2,0.9988839030265808,9.999999747378752e-05,0.02221417985856533,0.9977728128433228,1.0,1.0,0.01200814452022314,1.0,1.0
3,1.0,9.999999747378752e-05,0.01284276507794857,1.0,1.0,1.0,0.007361199241131544,1.0,1.0
4,1.0,9.999999747378752e-05,0.010087518021464348,1.0,1.0,1.0,0.004822510294616222,1.0,1.0
5,1.0,9.999999747378752e-05,0.007546149659901857,1.0,1.0,1.0,0.0035173294600099325,1.0,1.0
6,1.0,9.999999747378752e-05,0.004639593418687582,1.0,1.0,1.0,0.002604580018669367,1.0,1.0
7,1.0,9.999999747378752e-05,0.004253197927027941,1.0,1.0,1.0,0.0020966841839253902,1.0,1.0
8,1.0,9.999999747378752e-05,0.003047927049919963,1.0,1.0,1.0,0.0016389619559049606,1.0,1.0
9,1.0,9.999999747378752e-05,0.002945610787719488,1.0,1.0,1.0,0.0013257868122309446,1.0,1.0
10,1.0,9.999999747378752e-05,0.0028677794616669416,1.0,1.0,1.0,0.0010748471831902862,1.0,1.0
11,1.0,9.999999747378752e-05,0.0026260975282639265,1.0,1.0,1.0,0.0008799870265647769,1.0,1.0
12,1.0,9.999999747378752e-05,0.0015990660758689046,1.0,1.0,1.0,0.0007434270228259265,1.0,1.0
13,1.0,9.999999747378752e-05,0.001566623686812818,1.0,1.0,1.0,0.0006441850564442575,1.0,1.0
14,1.0,9.999999747378752e-05,0.0017044168198481202,1.0,1.0,1.0,0.0005827671266160905,1.0,1.0
15,1.0,9.999999747378752e-05,0.0014988783514127135,1.0,1.0,1.0,0.00048755068564787507,1.0,1.0
16,1.0,9.999999747378752e-05,0.0012297973735257983,1.0,1.0,1.0,0.00042710007983259857,1.0,1.0
17,1.0,9.999999747378752e-05,0.0009796463418751955,1.0,1.0,1.0,0.0003766970185097307,1.0,1.0
18,1.0,9.999999747378752e-05,0.0008605982293374836,1.0,1.0,1.0,0.0003332373744342476,1.0,1.0
19,1.0,9.999999747378752e-05,0.0006212599691934884,1.0,1.0,1.0,0.00030287602567113936,1.0,1.0
20,1.0,9.999999747378752e-05,0.0006020274595357478,1.0,1.0,1.0,0.00027974622207693756,1.0,1.0
21,1.0,9.999999747378752e-05,0.000787928409408778,1.0,1.0,1.0,0.0002518516848795116,1.0,1.0
22,1.0,9.999999747378752e-05,0.0005822769599035382,1.0,1.0,1.0,0.0002313814329681918,1.0,1.0
23,1.0,4.999999873689376e-05,0.0005776624893769622,1.0,1.0,1.0,0.00022086480748839676,1.0,1.0
24,1.0,4.999999873689376e-05,0.0003647645644377917,1.0,1.0,1.0,0.0002132336812792346,1.0,1.0
